Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
,,,,,,,,,,,,,,,,TestWords/WAI_VU_NA.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,3.302,0,13,13,13,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAY_LI_BA.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.8347,0,14,14,14,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/FU_RAI_ZO.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,0,0.1837,0,15,15,15,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.3912,0,16,16,16,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,0,0.4244,0,17,17,17,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,1,0.6516,0,18,18,18,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/WAI_NA_VU.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.702,0,19,19,19,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,0,0.9781,0,20,20,20,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAY_BA_LI.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,0,0.6599,0,21,21,21,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,0,0.5372,0,22,22,22,1,1,OLD,OLD,,,,,,,,
