Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran
,,,,,,,,,,,,,,,,TestWords/KAY_BA_LI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,0,0.5646,0,27,27,27,1,2,NEW,SIMILAR,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,0.5752,0,28,28,28,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.6033,0,29,29,29,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.3701,0,30,30,30,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/NU_CHAY_SO.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.5847,0,31,31,31,1,2,NEW,NEW,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.5697,0,32,32,32,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/NA_WAI_VU.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,0,0.7536,0,33,33,33,1,2,NEW,SIMILAR,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.1862,0,34,34,34,1,2,NEW,NEW,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.6523,0,35,35,35,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/LI_BA_KAY.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.3547,0,36,36,36,1,2,NEW,SIMILAR,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.0739,0,37,37,37,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.3149,0,38,38,38,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_SA_GI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.7495,0,39,39,39,1,2,NEW,NEW,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.0533,0,40,40,40,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,0.3527,0,41,41,41,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.7087,0,42,42,42,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/GI_SA_TAI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.4271,0,43,43,43,1,2,NEW,SIMILAR,,,,,
,,,,,,,,,,,,,,,,TestWords/BA_LI_KAY.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.537,0,44,44,44,1,2,NEW,SIMILAR,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,1.0081,0,45,45,45,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.3528,0,46,46,46,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,0.5556,0,47,47,47,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/LU_HAI_BO.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.4692,0,48,48,48,1,2,NEW,NEW,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.9558,0,49,49,49,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.8226,0,50,50,50,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/GI_TAI_SA.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.8222,0,51,51,51,1,2,NEW,SIMILAR,,,,,
,,,,,,,,,,,,,,,,TestWords/LI_KAY_BA.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,2.5738,0,52,52,52,1,2,NEW,SIMILAR,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,1,0.3015,0,53,53,53,1,1,OLD,OLD,,,,,
