Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,ContinueButton.keys,ContinueButton.rt,ExposureIntroKey.keys,ExposureIntroKey.rt,ExposureLoop.thisRepN,ExposureLoop.thisTrialN,ExposureLoop.thisN,ExposureLoop.thisIndex,ExposureLoop.ran,Position,Sound,SyllableFile,participant,date,expName,psychopyVersion,OS,frameRate,PauseCheckKey.keys,PauseCheckKey.rt,PauseOnOff.thisRepN,PauseOnOff.thisTrialN,PauseOnOff.thisN,PauseOnOff.thisIndex,PauseOnOff.ran
,,,,,,,,,,,,0,117,117,117,1,1,fe,SL_Sounds/fe.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,118,118,118,1,2,ti,SL_Sounds/ti.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,119,119,119,1,3,su,SL_Sounds/su.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,120,120,120,1,1,re,SL_Sounds/re.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,121,121,121,1,2,ge,SL_Sounds/ge.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,space,0.7598,0,0,0,0,1
,,,,,,,,,,,,0,122,122,122,1,3,me,SL_Sounds/me.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,123,123,123,1,1,ta,SL_Sounds/ta.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,124,124,124,1,2,fu,SL_Sounds/fu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,125,125,125,1,3,ko,SL_Sounds/ko.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,126,126,126,1,1,fe,SL_Sounds/fe.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,127,127,127,1,2,ti,SL_Sounds/ti.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,128,128,128,1,3,su,SL_Sounds/su.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,129,129,129,1,1,re,SL_Sounds/re.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,130,130,130,1,2,ge,SL_Sounds/ge.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,131,131,131,1,3,me,SL_Sounds/me.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,132,132,132,1,1,ru,SL_Sounds/ru.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,133,133,133,1,2,pu,SL_Sounds/pu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,134,134,134,1,3,ni,SL_Sounds/ni.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,135,135,135,1,1,re,SL_Sounds/re.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,136,136,136,1,2,ge,SL_Sounds/ge.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,137,137,137,1,3,me,SL_Sounds/me.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,138,138,138,1,1,ta,SL_Sounds/ta.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,139,139,139,1,2,fu,SL_Sounds/fu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,140,140,140,1,3,ko,SL_Sounds/ko.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,141,141,141,1,1,re,SL_Sounds/re.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,142,142,142,1,2,ge,SL_Sounds/ge.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,143,143,143,1,3,me,SL_Sounds/me.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,144,144,144,1,1,ru,SL_Sounds/ru.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,145,145,145,1,2,pu,SL_Sounds/pu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,space,1.6061,0,0,0,0,1
,,,,,,,,,,,,0,146,146,146,1,3,ni,SL_Sounds/ni.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,147,147,147,1,1,ta,SL_Sounds/ta.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
