Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueButton.keys,ContinueButton.rt,Condition,ExposureIntroKey.keys,ExposureIntroKey.rt,ExposureLoop.thisRepN,ExposureLoop.thisTrialN,ExposureLoop.thisN,ExposureLoop.thisIndex,ExposureLoop.ran,Position,Sound,SyllableFile,PauseCheckKey.keys,PauseOnOff.thisRepN,PauseOnOff.thisTrialN,PauseOnOff.thisN,PauseOnOff.thisIndex,PauseOnOff.ran
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,56,56,56,1,3,pu,SL_Sounds/pu.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,57,57,57,1,1,su,SL_Sounds/su.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,58,58,58,1,2,fe,SL_Sounds/fe.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,59,59,59,1,3,ti,SL_Sounds/ti.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,60,60,60,1,1,ni,SL_Sounds/ni.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,61,61,61,1,2,ru,SL_Sounds/ru.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,62,62,62,1,3,pu,SL_Sounds/pu.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,63,63,63,1,1,ko,SL_Sounds/ko.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,64,64,64,1,2,ta,SL_Sounds/ta.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,65,65,65,1,3,fu,SL_Sounds/fu.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,66,66,66,1,1,su,SL_Sounds/su.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,67,67,67,1,2,fe,SL_Sounds/fe.wav,,,,,,
,,,,,,,,,,,,,,,,,,{{%PROLIFIC_PID%}},2021-07-19_16h22.15.084,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,0,68,68,68,1,3,ti,SL_Sounds/ti.wav,,,,,,
